220.000	26.584	0.001	3026.366	0.006
210.000	26.479	0.002	3026.356	0.011
200.000	26.470	0.001	3026.331	0.007
190.000	26.872	0.001	3026.336	0.006
180.000	26.816	0.000	3026.329	0.005
170.000	26.605	0.001	3026.310	0.009
165.000	26.498	0.001	3026.312	0.006
160.000	26.413	0.001	3026.310	0.005
155.000	26.347	0.001	3026.320	0.006
152.000	26.328	0.001	3026.342	0.011
150.000	26.312	0.000	3026.377	0.005
149.000	26.312	0.001	3026.355	0.003
148.000	26.307	0.001	3026.371	0.011
147.000	26.303	0.001	3026.361	0.008
145.000	26.299	0.001	3026.367	0.006
143.000	26.296	0.002	3026.364	0.010
140.000	26.296	0.001	3026.357	0.003
135.000	26.304	0.001	3026.354	0.007
130.000	26.338	0.001	3026.360	0.007
120.000	26.450	0.001	3026.351	0.006
110.000	26.643	0.001	3026.330	0.019
100.000	26.773	0.002	3026.297	0.009
