0.000	2.660
0.200	2.660
0.400	2.661
0.600	2.661
0.800	2.661
1.000	2.660
1.200	2.661
1.400	2.661
1.600	2.661
1.800	2.660
2.000	2.660
2.200	2.660
2.400	2.661
2.600	2.661
2.800	2.646
3.000	2.646
3.200	2.661
3.400	2.660
3.600	2.661
3.800	2.661
4.000	2.661
4.200	2.659
4.400	2.659
4.600	2.659
4.800	2.660
5.000	2.659
5.200	2.670
5.400	2.672
5.600	2.673
5.800	2.660
6.000	2.662
6.200	2.661
6.400	2.660
6.600	2.660
6.800	2.660
7.000	2.660
7.200	2.660
7.400	2.660
7.600	2.661
7.800	2.661
8.000	2.661
8.200	2.661
8.400	2.660
8.600	2.659
8.800	2.661
9.000	2.658
9.200	2.658
9.400	2.659
9.600	2.659
9.800	2.660
10.000	2.661
10.200	2.661
10.400	2.660
10.600	2.660
10.800	2.658
11.000	2.658
11.200	2.657
11.400	2.660
11.600	2.654
11.800	2.653
12.000	2.653
12.200	2.660
12.400	2.660
12.600	2.660
12.800	2.660
13.000	2.661
13.200	2.661
13.400	2.658
13.600	2.658
13.800	2.659
14.000	2.660
14.200	2.660
14.400	2.660
14.600	2.661
14.800	2.660
15.000	2.660
15.200	2.660
15.400	2.660
15.600	2.661
15.800	2.661
16.000	2.660
16.200	2.660
16.400	2.660
16.600	2.661
16.800	2.661
17.000	2.660
17.200	2.660
17.400	2.660
17.600	2.661
17.800	2.660
18.000	2.661
18.200	2.660
18.400	2.659
18.600	2.659
18.800	2.660
19.000	2.661
19.200	2.651
19.400	2.651
19.600	2.650
19.800	2.660
20.000	2.660
20.200	2.661
20.400	2.660
20.600	2.660
20.800	2.660
21.000	2.660
21.200	2.661
21.400	2.661
21.600	2.660
21.800	2.659
22.000	2.659
22.200	2.660
22.400	2.660
22.600	2.660
22.800	2.660
23.000	2.660
23.200	2.657
23.400	2.658
23.600	2.658
23.800	2.660
24.000	2.652
24.200	2.651
24.400	2.651
24.600	2.659
24.800	2.660
25.000	2.661
25.200	2.661
25.400	2.660
25.600	2.660
25.800	2.659
26.000	2.660
26.200	2.660
26.400	2.654
26.600	2.653
26.800	2.653
27.000	2.659
27.200	2.660
27.400	2.660
27.600	2.661
27.800	2.660
28.000	2.659
28.200	2.659
28.400	2.659
28.600	2.660
28.800	2.661
29.000	2.660
